Role,Experience_Range,Salary_Min_Rs,Salary_Max_Rs,Common_Skills,Industry
Sales Executive,0-2 years,18000,28000,"Communication, CRM (Salesforce/HubSpot), Cold Calling, Negotiation, Excel","Retail, Telecom, Finance, FMCG"
Sales Executive,3-5 years,28000,45000,"B2B Sales, Pipeline Management, Account Management, Proposal Writing, CRM","Finance, Telecom, IT Services, Hospitality"
Account Manager,3-7 years,35000,60000,"Client Relationship Management, Upselling, Contract Negotiation, Reporting, CRM","Banking, IT, Insurance, Hospitality"
Marketing Coordinator,0-3 years,20000,35000,"Social Media, Content Creation, Canva, Google Analytics, Email Marketing","Retail, Hospitality, NGOs, Education"
Digital Marketing Specialist,2-5 years,30000,55000,"SEO/SEM, Facebook Ads, Google Ads, Analytics, Email Automation, Copywriting","E-commerce, Agencies, Finance, Hospitality"
Software Developer,0-2 years,25000,40000,"Python/JavaScript, Git, REST APIs, SQL, Problem Solving","IT Services, Fintech, Government, Startups"
Software Developer,3-5 years,40000,70000,"Full-Stack Development, Cloud (AWS/GCP), Docker, CI/CD, System Design","IT Services, Banking, Fintech, Startups"
Data Analyst,2-4 years,35000,60000,"Excel/Google Sheets, SQL, Python (Pandas), Power BI/Tableau, Data Cleaning","Finance, Telecom, Retail, Government"
Accountant,2-5 years,30000,55000,"ACCA/ACA, Excel, QuickBooks/Sage, Tax Filing, Financial Reporting, Audit","Accounting Firms, Finance, Manufacturing, NGOs"
HR Officer,2-5 years,25000,45000,"Recruitment, Employment Law (Mauritius), Payroll, HRIS, Employee Relations","All sectors"
Customer Service Rep,0-3 years,15000,28000,"Communication, CRM, Problem Solving, Patience, French/English Bilingual","BPO, Banking, Retail, Hospitality"
Admin Assistant,0-3 years,14000,25000,"MS Office, Scheduling, Data Entry, Communication, Filing","All sectors"
Project Manager,5+ years,60000,100000,"PMP/Prince2, JIRA, Risk Management, Stakeholder Communication, Budgeting","IT, Construction, Finance, Government"
Business Analyst,3-6 years,40000,70000,"Requirements Gathering, Process Mapping, SQL, Stakeholder Management, Agile","Banking, IT, Telecom, Government"
Graphic Designer,1-4 years,20000,40000,"Adobe Creative Suite, Figma, Branding, Social Media Design, Typography","Agencies, Media, Hospitality, Retail"
Financial Analyst,3-6 years,45000,80000,"Financial Modelling, Excel, Bloomberg, CFA/ACCA, Valuation, Forecasting","Banking, Asset Management, Insurance"
IT Support,1-3 years,20000,38000,"Windows/Linux, Networking, Troubleshooting, Active Directory, Help Desk","IT Services, Finance, Government"
Operations Manager,5+ years,65000,110000,"Process Improvement, Supply Chain, Team Leadership, KPI Tracking, Lean/Six Sigma","Manufacturing, Retail, Logistics, Hospitality"
Hotel Manager,5+ years,70000,130000,"Revenue Management, Opera PMS, Guest Relations, F&B Knowledge, Leadership","Hospitality, Tourism"
Teacher,2-10 years,25000,50000,"Curriculum Planning, Classroom Management, Subject Expertise, Assessment, ICT","Primary, Secondary, Private Tuition, TVET"
Nurse,2-8 years,28000,65000,"Patient Care, Clinical Skills, Medical Records, BLS/ACLS, Team Collaboration","Hospitals, Clinics, Nursing Homes"
Receptionist,0-3 years,14000,22000,"Front Desk, MS Office, Communication, Scheduling, Bilingual (EN/FR)","Hotels, Medical, Corporate"
