Role,Required_Skills,Nice_To_Have_Skills,Common_Gaps
Sales Executive,"Communication, CRM (HubSpot/Salesforce), Cold Calling, Negotiation, Excel, Target Achievement","French fluency, Digital prospecting, Social selling, SPIN Selling","No quantified achievements (e.g. Rs X revenue generated), Missing CRM tool name, No mention of targets hit"
Account Manager,"Client Relationship Management, Account Planning, Upselling, Contract Management, CRM, Reporting","Certified (HubSpot, Salesforce), LinkedIn SSI, Customer Success tools","Vague responsibilities (no numbers), Missing client portfolio size, No retention rate mentioned"
Marketing Coordinator,"Social Media Management, Content Creation, Canva, Google Analytics, Email Marketing, Copywriting","Paid ads experience, Video editing, HubSpot certification","No metrics (follower growth %, engagement rate), Missing tools list, No campaign examples"
Digital Marketing Specialist,"Google Ads, Facebook/Meta Ads, SEO, Google Analytics 4, Email Automation, A/B Testing","Google certifications, Meta Blueprint, HubSpot Inbound, Content strategy","Missing certifications, No ROAS or conversion metrics, No specific campaign results"
Software Developer,"Programming language (Python/JS/Java), Git/GitHub, REST APIs, SQL basics, Problem solving","Cloud (AWS/GCP/Azure), Docker, CI/CD, System design, Testing (unit/integration)","No GitHub link, No project portfolio, Missing tech stack clarity, No deployment experience shown"
Data Analyst,"Excel/Google Sheets, SQL, Data visualization (Power BI or Tableau), Python or R basics, Data cleaning","Machine learning basics, Stakeholder presentation, DAX/M language, Statistical analysis","No portfolio or dashboards shown, Missing tools (just says 'data analysis'), No business impact metrics"
Accountant,"Double-entry bookkeeping, Financial reporting, Tax knowledge (Mauritius MRA), Excel, Accounting software","ACCA/ACA/CIMA qualification, IFRS knowledge, Audit experience, ERP (SAP/Oracle)","ACCA exam progress not mentioned, Missing software names, No audit or tax filing experience shown"
HR Officer,"Recruitment, Employment Act Mauritius, Payroll processing, HR policies, Employee relations","SHRM/CIPD certification, HRIS (SAP HR, BambooHR), Talent development, L&D experience","No knowledge of Employment Rights Act 2008, Missing payroll software, No recruitment metrics"
Customer Service Rep,"Active listening, CRM ticketing, Problem resolution, Communication (EN/FR), Email etiquette","Zendesk/Freshdesk experience, KPI tracking (CSAT, FCR), Upselling, Bilingual (Creole)","No CSAT score or satisfaction metric, Missing channels handled (phone/chat/email), No escalation experience"
Admin Assistant,"MS Office (Word/Excel/Outlook), Calendar management, Filing, Data entry, Communication","SharePoint, Minute-taking, Event coordination, French fluency","No specific software versions, Missing volume of work (e.g. managed X executives), Too vague on responsibilities"
Project Manager,"Project planning, Risk management, Stakeholder communication, Budget management, Reporting","PMP or Prince2 certification, Agile/Scrum, JIRA/Asana, Change management","No PM methodology mentioned, Missing project size (budget, team size), No on-time/on-budget metrics"
Business Analyst,"Requirements documentation, Process mapping, Stakeholder interviews, SQL, MS Visio/Lucidchart","Agile/Scrum BA experience, CBAP certification, BPMN, UAT coordination","Vague descriptions of 'analysis', No tools named, No business outcomes documented"
Graphic Designer,"Adobe Illustrator, Photoshop, InDesign, Figma, Brand identity, Layout design","Motion graphics (After Effects), 3D basics, UX/UI knowledge, Print production","No portfolio link, Missing software versions, No client or brand work examples"
Financial Analyst,"Financial modelling, Excel (advanced), Valuation, Budget vs actuals, Financial reporting","CFA Level 1+, Bloomberg Terminal, Python for finance, M&A experience","No financial model examples, Missing industry context, Vague 'analysed data' descriptions"
IT Support,"Windows 10/11 administration, Network troubleshooting, Active Directory, Ticketing systems, Hardware","CompTIA A+ or Network+, Linux basics, Cloud (Azure/AWS), Scripting (PowerShell)","No certifications listed, Missing specific systems supported, No SLA or ticket resolution metrics"
Operations Manager,"Process improvement, Team leadership, KPI management, Supply chain basics, Budget oversight","Lean Six Sigma, ERP (SAP/Oracle), Change management, ISO certification","No team size managed, Missing cost savings achieved, Vague 'managed operations' without outcomes"
Hotel Manager,"Opera PMS, Revenue management, F&B operations, Guest satisfaction, Team management","Revenue management certification, Yield management, Multi-property experience, OTA management","No occupancy rate or RevPAR metrics, Missing property size, No guest satisfaction scores"
Teacher,"Lesson planning, Curriculum delivery, Classroom management, Assessment, Student engagement","PGCE/QTS equivalent, ICT integration, SEN experience, Cambridge IGCSE/A-level experience","No student outcome data, Missing subjects and levels taught, No extracurricular contributions"
Nurse,"Patient assessment, Medication administration, Clinical documentation, BLS/CPR, Team collaboration","ACLS, Specialisation (ICU/CCU/Paeds), Research experience, Preceptorship","No clinical specialisation, Missing ward or department context, No patient ratio or workload indicators"
Receptionist,"Front desk management, Phone etiquette, MS Office, Visitor management, Scheduling","PABX systems, Event support, Bilingual (EN/FR/Creole), PMS (for hotel)","No volume of calls/visitors handled, Missing front desk software, Too generic"
